Company,City,State,Industry,
Eli Lilly and Company, Indianapolis, IN, Healthcare, Pharmaceuticals
Endo International , Dublin, D, Healthcare, Pharmaceuticals
Envision Healthcare , Greenwood Vlg, CO, Healthcare, Pharmaceuticals
Express Scripts , Saint Louis, MO, Healthcare, Pharmaceuticals
Forest Laboratories , New York, NY, Healthcare, Pharmaceuticals
Gilead Sciences , Foster City, CA, Healthcare, Pharmaceuticals
HCA Holdings , Nashville, TN, Healthcare, Pharmaceuticals
Health Care REIT , Toledo, OH, Healthcare, Pharmaceuticals
Health Net, Woodland Hills, CA, Healthcare, Pharmaceuticals
HealthSouth , Birmingham, AL, Healthcare, Pharmaceuticals
Henry Schein , Melville, NY, Healthcare, Pharmaceuticals
Hologic, Bedford, MA, Healthcare, Pharmaceuticals
Hospira , Lake Forest, IL, Healthcare, Pharmaceuticals
IASIS Healthcare, Franklin, TN, Healthcare, Pharmaceuticals
Intuitive Surgical , Sunnyvale, CA, Healthcare, Pharmaceuticals
Kindred Healthcare , Louisville, KY, Healthcare, Pharmaceuticals
Laboratory Corp., Burlington, NC, Healthcare, Pharmaceuticals
Lifepoint Health, Brentwood, TN, Healthcare, Pharmaceuticals
Magellan Health Services , Scottsdale, AZ, Healthcare, Pharmaceuticals
McKesson, San Francisco, CA, Healthcare, Pharmaceuticals
MEDNAX , Fort Lauderdale, FL, Healthcare, Pharmaceuticals
Medtronic , Minneapolis, MN, Healthcare, Pharmaceuticals
Merck & Co. , Whitehouse Station, NJ, Healthcare, Pharmaceuticals
Molina Healthcare , Long Beach, CA, Healthcare, Pharmaceuticals
MWI Veterinary Supply, Boise, ID, Healthcare, Pharmaceuticals
Mylan N.V., Canonsburg, PA, Healthcare, Pharmaceuticals
NBTY , Ronkonkoma, NY, Healthcare, Pharmaceuticals
Nu Skin Enterprises, Provo, UT, Healthcare, Pharmaceuticals
Omnicare , Cincinnati, OH, Healthcare, Pharmaceuticals
Owens & Minor , Mechanicsville, VA, Healthcare, Pharmaceuticals
PAREXEL International, Waltham, MA, Healthcare, Pharmaceuticals
Patterson Companies , Saint Paul, MN, Healthcare, Pharmaceuticals
PerkinElmer , Waltham, MA, Healthcare, Pharmaceuticals
Perrigo , Allegan, MI, Healthcare, Pharmaceuticals
Pfizer , New York, NY, Healthcare, Pharmaceuticals
Quest Diagnostics I, Madison, NJ, Healthcare, Pharmaceuticals
